time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
2619.052430	7.306227	1.900994	3.843372	233
2620.111237	7.059021	1.877721	3.759356	234
2621.119461	7.118757	1.893856	3.758870	235
2622.178194	7.149112	1.891870	3.778861	236
2623.195017	7.221952	1.890369	3.820393	237
2624.252789	7.337225	1.906453	3.848627	238
2625.262662	7.327755	1.888672	3.879845	239
2626.317958	7.229405	1.899308	3.806336	240
2627.331196	7.432597	1.913264	3.884773	241
2628.382286	7.012731	1.869915	3.750294	242
2629.393489	7.061442	1.872522	3.771086	243
2630.437149	6.887707	1.828561	3.766736	244
2631.465484	7.210735	1.901392	3.792346	245
2632.499025	7.386575	1.895519	3.896861	246
2633.538370	7.324177	1.906521	3.841646	247
2634.561624	7.445865	1.897549	3.923939	248
2635.609074	7.086568	1.864208	3.801383	249
2636.626139	7.422511	1.878679	3.950921	250
2637.675950	7.028097	1.875170	3.747978	251
2638.694060	7.519797	1.893102	3.972210	252
2639.738499	6.913390	1.903937	3.631103	253
2640.773516	7.426457	1.897771	3.913252	254
2641.807728	7.017609	1.897573	3.698204	255
2642.847332	7.433371	1.897355	3.917754	0
2643.868218	7.160836	1.885604	3.797635	1
2644.911919	7.215394	1.862950	3.873101	2
2645.924602	7.243824	1.891762	3.829143	3
2646.990077	7.490042	1.903072	3.935765	4
2647.989541	7.364443	1.899203	3.877650	5
2649.049584	7.302982	1.893781	3.856298	6
2650.064526	7.318697	1.859593	3.935644	7
2651.122050	7.386117	1.902104	3.883131	8
2652.132690	7.426021	1.900793	3.906802	9
2653.186919	7.079941	1.863377	3.799522	10
2654.193229	7.247049	1.900050	3.814137	11
2655.243553	7.098600	1.899481	3.737127	12
2656.262283	7.310806	1.896644	3.854602	13
2657.309113	7.178943	1.899884	3.778622	14
2658.330152	7.119951	1.840798	3.867862	15
2659.376064	7.156625	1.891244	3.784084	16
2660.397575	7.211302	1.881272	3.833205	17
2661.443640	7.006650	1.880858	3.725242	18
2662.463857	7.142363	1.887716	3.783600	19
2663.512413	7.032974	1.896450	3.708493	20
2664.528750	7.127337	1.867452	3.816610	21
2665.581851	6.904342	1.870469	3.691237	22
2666.593841	7.182582	1.892990	3.794307	23
2667.650241	6.943506	1.895632	3.662898	24
2668.666717	7.297166	1.875641	3.890492	25
2669.726834	7.094719	1.904882	3.724493	26
2670.733177	7.324949	1.896904	3.861529	27
2671.792686	7.097644	1.893264	3.748893	28
2672.801908	7.238656	1.864947	3.881428	29
2673.857410	7.327050	1.902695	3.850880	30
2674.872683	7.080908	1.892916	3.740741	31
2675.919488	7.453911	1.891785	3.940148	32
2676.946049	6.889039	1.889733	3.645508	33
2677.980499	7.502761	1.893160	3.963089	34
2679.017575	6.841411	1.891030	3.617822	35
2680.042296	7.530880	1.898943	3.965827	36
2681.088624	6.705905	1.874256	3.577903	37
2682.099226	7.415355	1.893708	3.915786	38
2683.156849	6.921179	1.898361	3.645872	39
2684.174136	7.400877	1.864189	3.970026	40
2685.221682	7.146127	1.900828	3.759481	41
2686.243951	7.357730	1.877406	3.919094	42
2687.277917	7.194647	1.889978	3.806736	43
2688.306623	7.232040	1.873317	3.860554	44
2689.349238	7.388310	1.905176	3.878021	45
2690.377362	7.142057	1.882749	3.793419	46
2691.404622	7.243181	1.904209	3.803775	47
2692.447341	7.144411	1.907666	3.745106	48
2693.469029	6.931491	1.834502	3.778406	49
2694.516831	6.844966	1.875561	3.649556	50
2695.534362	7.155559	1.907007	3.752247	51
2696.584512	6.981444	1.903235	3.668198	52
2697.600867	7.146772	1.899999	3.761462	53
2698.651339	6.950449	1.892720	3.672201	54
2699.667770	7.179814	1.898982	3.780876	55
2700.717938	6.959744	1.900792	3.661497	56
2701.735553	6.971341	1.854180	3.759799	57
2702.782172	6.824652	1.864866	3.659593	58
2703.804126	7.070175	1.897284	3.726472	59
2704.845965	6.931603	1.893988	3.659792	60
2705.874315	6.969037	1.881481	3.704016	61
2706.909504	6.963315	1.881719	3.700508	62
2707.945275	6.907925	1.884125	3.666383	63
2708.972477	7.182897	1.900432	3.779613	64
2710.015485	6.854623	1.887887	3.630844	65
2711.036756	7.374764	1.896463	3.888693	66
2712.085062	6.861473	1.888532	3.633232	67
2713.102274	7.443109	1.895855	3.925990	68
2714.159917	6.909429	1.889995	3.655792	69
2715.170393	7.460380	1.902302	3.921765	70
2716.216113	6.718194	1.895185	3.544876	71
2717.240554	7.331396	1.890546	3.877926	72
2718.277749	6.649751	1.882076	3.533200	73
2719.311898	7.248192	1.894036	3.826851	74
2720.339795	6.780331	1.892889	3.582002	75
2721.383408	6.902461	1.838180	3.755051	76
2722.402826	6.792902	1.867725	3.636993	77
2723.462404	7.255963	1.902361	3.814188	78
2724.466976	6.889238	1.849082	3.725763	79
2725.524486	7.200510	1.902790	3.784186	80
2726.532297	7.069788	1.866889	3.786935	81
2727.600227	7.148430	1.860781	3.841629	82
2728.606857	7.151942	1.884712	3.794714	83
2729.667204	7.225149	1.892502	3.817776	84
2730.673548	7.165082	1.887539	3.795993	85
2731.733885	7.297518	1.908355	3.823984	86
2732.732413	7.156916	1.907606	3.751779	87
2733.791886	7.119800	1.903020	3.741317	88
2734.799736	6.898252	1.847664	3.733500	89
2735.858373	7.029348	1.898479	3.702621	90
2736.874481	7.132064	1.896719	3.760212	91
